"Order ID","Restaurant Name","Location","Order Time","Delivery Time","Delivery Duration (min)","Pizza Size","Pizza Type","Toppings Count","Distance (km)","Traffic Level","Payment Method","Is Peak Hour","Is Weekend","Delivery Efficiency (min/km)","Topping Density","Order Month","Payment Category","Estimated Duration (min)","Delay (min)","Is Delayed","Pizza Complexity","Traffic Impact","Order Hour","Restaurant Avg Time"
"ORD001","Domino's","New York, NY","2024-01-05 18:30:00","2024-01-05 18:45:00","15","Medium","Veg","3","2.5","Medium","Card","1","","6","1.2","January","Online","6","9","","6","2","18","30.259433962264"
"ORD002","Papa John's","Los Angeles, CA","2024-02-14 20:00:00","2024-02-14 20:25:00","25","Large","Non-Veg","4","5","High","Wallet","1","","5","0.8","February","Online","12","13","","12","3","20","28.186274509804"
"ORD003","Little Caesars","Chicago, IL","2024-03-21 12:15:00","2024-03-21 12:35:00","20","Small","Vegan","2","3","Low","UPI","","","6.6666666666667","0.66666666666667","March","Online","7.2","12.8","","2","1","12","28.844221105528"
"ORD004","Pizza Hut","Miami, FL","2024-04-10 19:45:00","2024-04-10 20:10:00","25","XL","Cheese Burst","5","4.5","Medium","Cash","1","","5.5555555555556","1.1111111111111","April","Offline","10.8","14.2","","20","2","19","29.948453608247"
"ORD005","Marco's Pizza","Dallas, TX","2024-05-05 13:00:00","2024-05-05 13:20:00","20","Medium","Non-Veg","3","2","High","Card","","1","10","1.5","May","Online","4.8","15.2","","6","3","13","30.286458333333"
"ORD006","Domino's","New York, NY","2024-01-06 19:00:00","2024-01-06 19:20:00","20","Medium","Non-Veg","3","3","High","Card","1","1","6.6666666666667","1","January","Online","7.2","12.8","","6","3","19","30.259433962264"
"ORD007","Papa John's","Los Angeles, CA","2024-01-07 20:15:00","2024-01-07 20:40:00","25","Large","Veg","4","4.5","Medium","UPI","1","1","5.5555555555556","0.88888888888889","January","Online","10.8","14.2","","12","2","20","28.186274509804"
"ORD008","Little Caesars","Chicago, IL","2024-01-08 18:30:00","2024-01-08 18:50:00","20","Small","Vegan","2","2","Low","Cash","1","","10","1","January","Offline","4.8","15.2","","2","1","18","28.844221105528"
"ORD009","Pizza Hut","Miami, FL","2024-01-09 19:45:00","2024-01-09 20:10:00","25","XL","Cheese Burst","5","5","High","Wallet","1","","5","1","January","Online","12","13","","20","3","19","29.948453608247"
"ORD010","Marco's Pizza","Dallas, TX","2024-01-10 13:00:00","2024-01-10 13:20:00","20","Medium","Non-Veg","3","3.5","Medium","Card","","","5.7142857142857","0.85714285714286","January","Online","8.4","11.6","","6","2","13","30.286458333333"
"ORD011","Domino's","San Francisco, CA","2024-01-11 17:30:00","2024-01-11 17:50:00","20","Large","Veg","4","4","Low","UPI","","","5","1","January","Online","9.6","10.4","","12","1","17","30.259433962264"
"ORD012","Papa John's","Houston, TX","2024-01-12 19:00:00","2024-01-12 19:25:00","25","Medium","Non-Veg","3","3","Medium","Cash","1","","8.3333333333333","1","January","Offline","7.2","17.8","","6","2","19","28.186274509804"
"ORD013","Little Caesars","Phoenix, AZ","2024-01-13 18:15:00","2024-01-13 18:35:00","20","Small","Vegan","2","2.5","High","Wallet","1","1","8","0.8","January","Online","6","14","","2","3","18","28.844221105528"
"ORD014","Pizza Hut","Atlanta, GA","2024-01-14 20:30:00","2024-01-14 20:55:00","25","XL","Cheese Burst","5","4","Low","Card","1","1","6.25","1.25","January","Online","9.6","15.4","","20","1","20","29.948453608247"
"ORD015","Marco's Pizza","Seattle, WA","2024-01-15 14:00:00","2024-01-15 14:20:00","20","Medium","Non-Veg","3","3","Medium","UPI","","","6.6666666666667","1","January","Online","7.2","12.8","","6","2","14","30.286458333333"
"ORD016","Domino's","Denver, CO","2024-01-16 19:45:00","2024-01-16 20:10:00","25","Large","Veg","4","4.5","High","Cash","1","","5.5555555555556","0.88888888888889","January","Offline","10.8","14.2","","12","3","19","30.259433962264"
"ORD017","Papa John's","Boston, MA","2024-01-17 18:30:00","2024-01-17 18:55:00","25","Small","Vegan","2","2","Low","Wallet","1","","12.5","1","January","Online","4.8","20.2","","2","1","18","28.186274509804"
"ORD018","Little Caesars","Dallas, TX","2024-01-18 20:00:00","2024-01-18 20:20:00","20","Medium","Non-Veg","3","3.5","Medium","Card","1","","5.7142857142857","0.85714285714286","January","Online","8.4","11.6","","6","2","20","28.844221105528"
"ORD019","Pizza Hut","Los Angeles, CA","2024-01-19 19:15:00","2024-01-19 19:40:00","25","XL","Cheese Burst","5","4","High","UPI","1","","6.25","1.25","January","Online","9.6","15.4","","20","3","19","29.948453608247"
"ORD020","Marco's Pizza","Chicago, IL","2024-01-20 13:30:00","2024-01-20 13:50:00","20","Medium","Non-Veg","3","3","Low","Cash","","1","6.6666666666667","1","January","Offline","7.2","12.8","","6","1","13","30.286458333333"
"ORD021","Domino's","Miami, FL","2024-01-21 18:45:00","2024-01-21 19:10:00","25","Large","Veg","4","4.5","Medium","Wallet","1","1","5.5555555555556","0.88888888888889","January","Online","10.8","14.2","","12","2","18","30.259433962264"
"ORD022","Papa John's","Dallas, TX","2024-01-22 20:00:00","2024-01-22 20:25:00","25","Small","Vegan","2","2","High","Card","1","","12.5","1","January","Online","4.8","20.2","","2","3","20","28.186274509804"
"ORD023","Little Caesars","Houston, TX","2024-01-23 19:30:00","2024-01-23 19:50:00","20","Medium","Non-Veg","3","3.5","Low","UPI","1","","5.7142857142857","0.85714285714286","January","Online","8.4","11.6","","6","1","19","28.844221105528"
"ORD024","Pizza Hut","Phoenix, AZ","2024-01-24 18:15:00","2024-01-24 18:40:00","25","XL","Cheese Burst","5","4","Medium","Cash","1","","6.25","1.25","January","Offline","9.6","15.4","","20","2","18","29.948453608247"
"ORD025","Marco's Pizza","Atlanta, GA","2024-01-25 14:30:00","2024-01-25 14:50:00","20","Medium","Non-Veg","3","3","High","Wallet","","","6.6666666666667","1","January","Online","7.2","12.8","","6","3","14","30.286458333333"
"ORD026","Domino's","Seattle, WA","2024-01-26 20:00:00","2024-01-26 20:25:00","25","Large","Veg","4","4.5","Low","Card","1","","5.5555555555556","0.88888888888889","January","Online","10.8","14.2","","12","1","20","30.259433962264"
"ORD027","Papa John's","Denver, CO","2024-01-27 19:15:00","2024-01-27 19:40:00","25","Small","Vegan","2","2","Medium","UPI","1","1","12.5","1","January","Online","4.8","20.2","","2","2","19","28.186274509804"
"ORD028","Little Caesars","Boston, MA","2024-01-28 18:30:00","2024-01-28 18:50:00","20","Medium","Non-Veg","3","3.5","High","Cash","1","1","5.7142857142857","0.85714285714286","January","Offline","8.4","11.6","","6","3","18","28.844221105528"
"ORD029","Pizza Hut","Chicago, IL","2024-01-29 20:00:00","2024-01-29 20:25:00","25","XL","Cheese Burst","5","4","Low","Wallet","1","","6.25","1.25","January","Online","9.6","15.4","","20","1","20","29.948453608247"
